,Word,Frequency
0,said,2
1,detect,5
2,illeg,6
3,entri,2
4,resid,1
5,health,2
6,worker,2
7,immedi,1
8,notifi,1
9,polic,1
10,local,2
11,authorities.hcm,1
12,citi,5
13,14,1
14,peopl,3
15,enter,2
16,countri,2
17,via,1
18,south-west,1
19,border,4
20,medic,7
21,treatment,4
22,sinc,1
23,earli,1
24,may,2
25,centr,6
26,report,1
27,thursday.among,1
28,six,1
29,case,4
30,residenti,1
31,area,2
32,other,1
33,came,1
34,hospit,5
35,check-ups.thes,1
36,usual,1
37,travel,1
38,trail,1
39,forest,1
40,along,1
41,took,3
42,public,1
43,buse,1
44,privat,1
45,car,1
46,'s,4
47,hospitals.through,1
48,declar,1
49,made,1
50,patient,1
51,entries.rec,1
52,children,2
53,no1,1
54,discov,1
55,four,3
56,foreign,2
57,includ,1
58,coupl,1
59,two-month-old,1
60,child,1
61,interpret,1
62,treatment.doctor,1
63,blood,1
64,sampl,1
65,test,1
66,three,1
67,adult,1
68,quarantin,3
69,củ,1
70,chi,1
71,district.th,1
72,babi,1
73,transfer,1
74,hcm,1
75,quarantine.test,1
76,result,1
77,show,1
78,neg,2
79,covid-19.th,1
80,warn,1
81,rel,1
82,live,1
83,abroad,1
84,want,1
85,return,1
86,việt,1
87,nam,1
88,examin,2
89,compli,1
90,entry-and-exit,1
91,regul,1
92,protect,1
93,measur,1
94,avoid,1
95,risk,2
96,covid-19,2
97,infection.it,1
98,also,1
99,call,1
100,diseas,1
101,control,1
102,provinc,1
103,coordin,1
104,guard,1
105,forc,1
106,prevent,2
107,entry.on,1
108,27,1
109,’,1
110,depart,1
111,sent,1
112,dispatch,1
113,clinic,1
114,particularli,1
115,host,1
116,immigr,2
117,inform,1
118,complet,1
119,could,1
120,treat,1
121,prescrib,1
122,``,1
123,although,1
124,one,1
125,need,1
126,vigil,1
127,'',1
128,offici,1
129,—,1
130,vn,1
